"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 07 22:31:04 EAT 2021","Thu Oct 07 22:31:38 EAT 2021","33483","","Validate safety specs","","Validate safety specs","Save screenshot","Save screenshot",""
"passed","Thu Oct 07 22:54:39 EAT 2021","Thu Oct 07 22:55:10 EAT 2021","31583","","Validate safety specs","","Validate safety specs","should validate safety is well explained","should validate safety is well explained",""
"broken","Thu Oct 07 22:55:19 EAT 2021","Thu Oct 07 22:55:30 EAT 2021","10168","","Validate safety specs","","Validate safety specs","should go to safety Belt page","should go to safety Belt page",""
"passed","Thu Oct 07 22:30:56 EAT 2021","Thu Oct 07 22:31:25 EAT 2021","29014","","One Million Campaign","","One Million Campaign","Save screenshot","Save screenshot",""
"passed","Thu Oct 07 22:30:49 EAT 2021","Thu Oct 07 22:31:04 EAT 2021","15251","","Validate safety specs","","Validate safety specs","should validate safety is well explained","should validate safety is well explained",""
"broken","Thu Oct 07 22:31:53 EAT 2021","Thu Oct 07 22:32:03 EAT 2021","10070","","Learn About Our car safety campaign","","Learn About Our car safety campaign","should go to Safety Innovation Page","should go to Safety Innovation Page",""
"passed","Thu Oct 07 22:31:45 EAT 2021","Thu Oct 07 22:31:47 EAT 2021","2249","","Validate safety specs","","Validate safety specs","should go to safety Belt page","should go to safety Belt page",""
"passed","Thu Oct 07 22:35:29 EAT 2021","Thu Oct 07 22:36:16 EAT 2021","47739","","Validate safety specs","","Validate safety specs","Save screenshot","Save screenshot",""
"passed","Thu Oct 07 22:31:38 EAT 2021","Thu Oct 07 22:31:45 EAT 2021","7355","","Validate safety specs","","Validate safety specs","should go to Full Features Page","should go to Full Features Page",""
"passed","Thu Oct 07 22:54:39 EAT 2021","Thu Oct 07 22:54:48 EAT 2021","8774","","One Million Campaign","","One Million Campaign","should validate we are on the landing page","should validate we are on the landing page",""
"passed","Thu Oct 07 22:36:01 EAT 2021","Thu Oct 07 22:36:34 EAT 2021","33411","","Learn About Our car safety campaign","","Learn About Our car safety campaign","Car Safety screenshots","Car Safety screenshots",""
"broken","Thu Oct 07 22:55:32 EAT 2021","Thu Oct 07 22:55:37 EAT 2021","5137","","Learn About Our car safety campaign","","Learn About Our car safety campaign","should go to car safety page ","should go to car safety page ",""
"passed","Thu Oct 07 22:54:48 EAT 2021","Thu Oct 07 22:55:32 EAT 2021","43569","","One Million Campaign","","One Million Campaign","Save screenshot","Save screenshot",""
"passed","Thu Oct 07 22:31:29 EAT 2021","Thu Oct 07 22:31:52 EAT 2021","22998","","Learn About Our car safety campaign","","Learn About Our car safety campaign","Car Safety screenshots","Car Safety screenshots",""
"broken","Thu Oct 07 22:31:25 EAT 2021","Thu Oct 07 22:31:29 EAT 2021","4357","","Learn About Our car safety campaign","","Learn About Our car safety campaign","should go to car safety page ","should go to car safety page ",""
"passed","Thu Oct 07 22:30:49 EAT 2021","Thu Oct 07 22:30:56 EAT 2021","7029","","One Million Campaign","","One Million Campaign","should validate we are on the landing page","should validate we are on the landing page",""
"broken","Thu Oct 07 22:55:10 EAT 2021","Thu Oct 07 22:55:19 EAT 2021","8871","","Validate safety specs","","Validate safety specs","should go to Full Features Page","should go to Full Features Page",""
"broken","Thu Oct 07 22:55:37 EAT 2021","Thu Oct 07 22:55:47 EAT 2021","10085","","Learn About Our car safety campaign","","Learn About Our car safety campaign","should go to Safety Innovation Page","should go to Safety Innovation Page",""
